Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"unique_code"":"""" + var_unique_code + """"}""",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
partner_token = partner_token,,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
out.println(plain),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
out.println(body),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
"request = findTestObject(""E_Wallet/obj_cancelQR"")",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.047s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
if (var_customer_token == 0),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
else,,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.003s,PASSED
response = sendRequest(request),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.070s,PASSED
println(request.getRestUrl()),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
body_content = responseBodyContent,,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
status_code = statusCode,,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
out.println(respDataMap),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
println(body_content),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.000s,PASSED
out.println(var_expected_rc),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.001s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-06 10:08:56,2019-12-06 10:08:56,0.004s,PASSED
